INFO 2025-07-01 15:34:03,750 autoreload 18440 21488 Watching for file changes with StatReloader
INFO 2025-07-01 15:38:51,696 basehttp 18440 19868 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-07-01 15:39:00,993 basehttp 18440 19868 "POST /admin/cinema/payment/ HTTP/1.1" 302 0
INFO 2025-07-01 15:39:01,008 basehttp 18440 19868 "GET /admin/cinema/payment/ HTTP/1.1" 200 11338
INFO 2025-07-01 15:39:01,018 basehttp 18440 14812 "GET /media/payment_proofs/Screenshot_9.png HTTP/1.1" 304 0
INFO 2025-07-01 15:39:01,023 basehttp 18440 19868 "GET /admin/jsi18n/ HTTP/1.1" 200 3343
INFO 2025-07-01 15:39:10,768 basehttp 18440 2112 "GET /api/movies/ HTTP/1.1" 200 382
INFO 2025-07-01 15:39:10,776 basehttp 18440 2112 "GET /api/movies/ HTTP/1.1" 200 382
INFO 2025-07-01 15:39:22,686 basehttp 18440 2112 "POST /api/token/ HTTP/1.1" 200 483
INFO 2025-07-01 15:39:22,700 basehttp 18440 2112 "GET /api/movies/ HTTP/1.1" 200 382
INFO 2025-07-01 15:39:22,707 basehttp 18440 2112 "GET /api/movies/ HTTP/1.1" 200 382
INFO 2025-07-01 15:39:24,867 basehttp 18440 2112 "GET /api/bookings/ HTTP/1.1" 200 1302
INFO 2025-07-01 15:39:24,878 basehttp 18440 2112 "GET /api/bookings/ HTTP/1.1" 200 1302
INFO 2025-07-01 15:56:42,565 basehttp 18440 15552 "GET /api/movies/ HTTP/1.1" 200 382
INFO 2025-07-01 15:56:42,568 basehttp 18440 15552 "GET /api/movies/ HTTP/1.1" 200 382
INFO 2025-07-01 15:56:54,084 basehttp 18440 15552 "POST /api/token/ HTTP/1.1" 200 483
INFO 2025-07-01 15:56:54,099 basehttp 18440 15552 "GET /api/movies/ HTTP/1.1" 200 382
INFO 2025-07-01 15:56:54,114 basehttp 18440 15552 "GET /api/movies/ HTTP/1.1" 200 382
INFO 2025-07-01 15:56:56,344 basehttp 18440 15552 "GET /api/movies/2/ HTTP/1.1" 200 180
